filename,width,height,class,xmin,ymin,xmax,ymax,binary_class
plastic_347_jpg.rf.9ec51972ccdf1245a55a3d4553b3477b.jpg,640,640,plastic,189,12,437,627,1
metal-2107-Copy_jpg.rf.0b6315795f889784073e3031bbde5238.jpg,640,640,non-plastic,43,32,196,585,0
metal-2107-Copy_jpg.rf.0b6315795f889784073e3031bbde5238.jpg,640,640,non-plastic,246,29,394,586,0
metal-2107-Copy_jpg.rf.0b6315795f889784073e3031bbde5238.jpg,640,640,non-plastic,459,32,600,582,0
plastic_879_jpg.rf.961ac337353810f2081bab8689481bb3.jpg,640,640,plastic,208,29,451,602,1
paper167_jpg.rf.3a5d1d46062fea6e41c5f6f42a04cc76.jpg,640,640,non-plastic,0,0,640,630,0
Plastic_534_jpg.rf.86b64e5c6f57e6edaa45c43a299d1e84.jpg,640,640,plastic,68,88,562,526,1
biological103_jpg.rf.4a33186798f6d95771f726f4f62026c1.jpg,640,640,non-plastic,160,52,520,585,0
Metal_751_jpg.rf.83d448e0cfb61c7822588836649a5ed8.jpg,640,640,non-plastic,209,32,488,350,0
metal-2238-Copy_jpg.rf.589318f11552e30a38030c80d57eb423.jpg,640,640,non-plastic,262,211,382,536,0
Metal_160_jpg.rf.812ddad227f2f886f9a535d34a515bd6.jpg,640,640,non-plastic,189,228,452,495,0
Paper_41_jpg.rf.7aea3f44bd53226ec3b4fc9a0ae206bb.jpg,640,640,non-plastic,164,135,478,470,0
WhatsApp-Image-2025-02-15-at-19_03_48_5b2fdfbf_jpg.rf.8d5cc18f27b97fb18af23139bcdd6997.jpg,640,640,plastic,42,267,600,331,0
Cardboard_349_jpg.rf.79ca53f33b33f98e66a3663db73fda4a.jpg,640,640,non-plastic,163,155,525,545,0
plastic_270_jpg.rf.1a4d148e3083cd83c1f1696d4982ccd1.jpg,640,640,plastic,209,0,413,610,1
metal-1979_jpg.rf.4361f2fabe7f2919ec303b4b9e964029.jpg,640,640,non-plastic,39,79,378,549,0
metal-1979_jpg.rf.4361f2fabe7f2919ec303b4b9e964029.jpg,640,640,non-plastic,343,56,597,547,0
paper-2604_jpg.rf.159c82045e44f204f0c2dc3bd1a4fb4c.jpg,640,640,non-plastic,83,135,618,467,0
metal-1990_jpg.rf.c021b7dc6a57847a7849713349f5f002.jpg,640,640,non-plastic,114,79,313,548,0
metal-1990_jpg.rf.c021b7dc6a57847a7849713349f5f002.jpg,640,640,non-plastic,324,178,532,554,0
Plastic_728_jpg.rf.65af35e2236dc2b71912e5e33a87bdca.jpg,640,640,plastic,173,125,537,492,1
Glass_148_jpg.rf.97286070933d50e18b2754a026561c90.jpg,640,640,non-plastic,165,79,485,497,0
